TAXID,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8
Otu0001,0,7,0,0,0,0,0,0
Otu0002,0,63,0,0,53,0,8,0
Otu0003,0,0,0,16,0,0,0,0
Otu0004,0,0,0,0,0,3,0,0
Otu0005,0,0,0,0,0,5,0,0
Otu0006,0,0,0,0,0,0,0,0
Otu0007,43,157,15,0,3,0,12,0
Otu0008,0,0,0,0,0,0,0,0
Otu0009,0,227,0,0,0,0,0,0
Otu0010,0,0,0,0,0,0,0,0
Otu0011,0,0,0,0,0,0,0,0
Otu0012,0,0,0,0,0,0,0,0
Otu0013,0,0,0,0,0,0,0,0
Otu0014,0,0,0,0,0,0,0,0
Otu0015,0,26,0,0,116,90,0,0
Otu0016,0,0,44,22,0,37,8,0
Otu0017,0,0,0,20,0,0,0,0
Otu0018,0,92,0,0,0,0,0,0
Otu0019,0,0,34,0,51,127,0,0
Otu0020,0,97,0,18,0,47,9,14
Otu0021,0,65,0,0,0,0,0,0
Otu0022,0,0,12,0,0,0,0,0
Otu0023,7,0,0,0,0,90,0,0
Otu0024,0,0,0,0,0,0,0,0
Otu0025,0,11,0,0,0,0,0,0
Otu0026,0,0,0,0,0,0,0,0
Otu0027,0,79,19,0,110,0,0,75
Otu0028,0,15,0,0,0,0,0,0
Otu0029,0,22,0,0,0,0,0,0
Otu0030,0,108,0,0,0,0,0,0
Otu0031,0,0,0,0,0,0,0,0
Otu0032,0,0,0,15,0,0,0,0
Otu0033,0,0,0,0,0,0,0,0
Otu0034,0,0,0,0,0,0,0,0
Otu0035,0,83,0,0,0,0,0,0
Otu0036,0,0,0,0,0,0,0,0
Otu0037,0,0,0,0,26,0,0,0
Otu0038,0,22,0,0,0,0,0,0
Otu0039,0,60,0,0,0,0,0,0
Otu0040,0,0,0,5,6,47,0,0
Otu0041,0,0,0,0,0,0,0,0
Otu0042,0,0,0,0,0,0,0,0
Otu0043,0,0,0,0,0,0,0,0
Otu0044,47,88,16,10,67,50,11,0
Otu0045,18,79,6,6,0,8,0,5
Otu0046,0,145,0,0,0,111,0,0
Otu0047,11,0,0,0,0,0,0,0
Otu0048,6,0,0,42,0,54,0,0
Otu0049,0,0,0,4,0,0,0,0
Otu0050,0,0,0,0,0,0,0,0
Otu0051,0,0,0,0,0,0,0,0
Otu0052,0,0,0,0,0,0,0,0
Otu0053,0,0,0,0,0,0,0,0
Otu0054,0,0,0,0,0,0,0,0
Otu0055,0,0,0,0,0,0,0,0
Otu0056,0,0,0,0,0,0,9,0
Otu0057,0,0,0,0,0,0,0,0
Otu0058,0,308,0,0,0,0,0,0
Otu0059,0,45,0,0,23,23,0,0
Otu0060,0,83,0,0,0,0,0,0
Otu0061,0,0,0,0,0,0,0,0
Otu0062,0,0,0,0,0,0,0,0
Otu0063,0,0,0,0,0,0,0,0
Otu0064,0,0,0,0,0,0,0,0
Otu0065,0,0,0,35,41,0,0,0
Otu0066,14,3,0,16,0,128,0,0
Otu0067,0,0,0,0,0,0,0,0
Otu0068,0,0,0,4,0,33,0,0
Otu0069,0,0,20,0,0,0,0,0
Otu0070,0,0,0,0,0,0,0,0
Otu0071,0,0,0,37,0,0,0,0
Otu0072,0,0,62,75,0,0,0,0
Otu0073,0,0,0,0,0,0,0,93
Otu0074,0,0,7,27,29,101,0,0
Otu0075,0,0,0,0,0,22,0,0
Otu0076,77,15,0,94,91,323,32,0
Otu0077,0,0,0,0,0,7,0,0
Otu0078,0,0,0,0,0,22,0,0
Otu0079,0,0,0,0,0,5,0,0
Otu0080,0,350,0,0,8,0,18,0
Otu0081,0,50,0,8,0,0,0,0
Otu0082,0,0,0,0,0,0,0,0
Otu0083,0,86,0,58,0,0,0,0
Otu0084,0,0,0,0,0,0,0,0
Otu0085,0,33,0,0,0,0,0,0
Otu0086,0,91,0,0,0,0,0,0
Otu0087,0,0,0,0,0,0,95,0
Otu0088,0,0,0,0,0,0,0,0
Otu0089,24,31,59,44,14,26,34,0
Otu0090,0,0,0,0,0,38,0,0
Otu0091,0,0,0,0,103,0,0,0
Otu0092,0,0,0,0,0,0,0,0
Otu0093,54,0,79,88,60,57,69,0
Otu0094,0,0,0,0,0,0,0,0
Otu0095,0,62,6,0,0,3,0,0
Otu0096,0,0,0,0,0,0,0,0
Otu0097,3,0,4,2,6,0,109,0
Otu0098,0,28,0,0,0,0,44,0
Otu0099,0,0,0,0,0,0,0,0
Otu0100,134,9049,24301,31524,12984,11053,37507,15
Otu0101,0,0,0,0,0,0,0,0
Otu0102,49,89,121,157,73,64,86,12
Otu0103,0,0,0,0,139,0,0,0
Otu0104,0,107,0,34,0,0,0,0
Otu0105,0,0,28,0,0,71,21,0
Otu0106,0,0,0,0,0,0,0,0
Otu0107,0,0,0,0,0,0,8,0
Otu0108,0,47,0,0,0,0,0,0
Otu0109,0,0,0,0,0,0,0,0
Otu0110,0,13,0,0,0,0,0,0
Otu0111,0,0,0,0,0,0,0,0
Otu0112,0,0,0,0,0,0,0,0
Otu0113,0,72,0,0,95,0,0,0
Otu0114,35,181,0,54,0,0,0,0
